Image 1,Image 2,Similarity Index
4.jpg,50.jpg,0.001279295
4.jpg,51.jpg,0.001191843
4.jpg,52.jpg,0.001156578
4.jpg,53.jpg,0.000850124
4.jpg,54.jpg,0.000237737
4.jpg,55.jpg,0.026430907
4.jpg,56.jpg,0.003001287
4.jpg,57.jpg,0.004765477
4.jpg,58.jpg,0.102896169
4.jpg,59.jpg,0.003182928
4.jpg,60.jpg,0.001126075
4.jpg,61.jpg,0.002551144
4.jpg,62.jpg,0.001334918
4.jpg,63.jpg,0.000586718
4.jpg,64.jpg,0.002703022
4.jpg,65.jpg,0.000976976
4.jpg,66.jpg,0.001444604
4.jpg,67.jpg,0.03133293
4.jpg,68.jpg,0.006013769
4.jpg,69.jpg,0.001980244
4.jpg,70.jpg,0.012472918
4.jpg,71.jpg,0.001472853
4.jpg,72.jpg,0.010592148
4.jpg,73.jpg,0.00123896
4.jpg,74.jpg,0.001093541
4.jpg,75.jpg,0.011171757
4.jpg,76.jpg,0.000352239
4.jpg,77.jpg,0.002216541
4.jpg,78.jpg,0.003559406
4.jpg,79.jpg,0.004273347
4.jpg,80.jpg,0.001728565
4.jpg,81.jpg,0.001210678
4.jpg,82.jpg,0.004229339
4.jpg,83.jpg,0.000629654
4.jpg,84.jpg,0.001456514
4.jpg,85.jpg,0.00127764
4.jpg,86.jpg,0.001251607
4.jpg,87.jpg,0.000139773
4.jpg,88.jpg,0.001740148
4.jpg,89.jpg,0.002097559
4.jpg,90.jpg,0.00241918
4.jpg,91.jpg,0.273988721
4.jpg,92.jpg,0.008927156
4.jpg,93.jpg,0.00111449
4.jpg,94.jpg,0.002405778
4.jpg,95.jpg,0.00083053
4.jpg,96.jpg,0.014939655
4.jpg,97.jpg,0.001322474
4.jpg,98.jpg,0.008469724
4.jpg,99.jpg,0.045713586
4.jpg,100.jpg,0.001860714
4.jpg,101.jpg,0.001061057
4.jpg,102.jpg,0.000992743
4.jpg,103.jpg,0.686874466
4.jpg,104.jpg,0.001295168
4.jpg,105.jpg,0.001016927
4.jpg,106.jpg,0.001859173
4.jpg,107.jpg,0.013346191
4.jpg,108.jpg,0.000410477
4.jpg,109.jpg,0.010709715
4.jpg,110.jpg,0.005056057
4.jpg,111.jpg,0.003049469
4.jpg,112.jpg,0.002315433
4.jpg,113.jpg,0.003534888
4.jpg,114.jpg,0.900640465
4.jpg,115.jpg,0.769906104
4.jpg,116.jpg,0.012709366
4.jpg,117.jpg,0.005662129
4.jpg,118.jpg,0.007707288
4.jpg,119.jpg,0.034685043
4.jpg,120.jpg,0.00122402
4.jpg,121.jpg,0.001119521
5.jpg,6.jpg,0.160008852
5.jpg,7.jpg,0.213240293
5.jpg,8.jpg,0.156485495
5.jpg,9.jpg,0.209595294
5.jpg,10.jpg,0.193726541
5.jpg,11.jpg,0.183052764
5.jpg,12.jpg,0.004621302
5.jpg,13.jpg,0.20384512
5.jpg,14.jpg,0.199693061
5.jpg,15.jpg,0.202013146
5.jpg,16.jpg,0.037275603
5.jpg,17.jpg,0.151862562
5.jpg,18.jpg,0.180354843
5.jpg,19.jpg,0.213432608
5.jpg,20.jpg,0.204570666
5.jpg,21.jpg,0.158998726
5.jpg,22.jpg,0.190897757
5.jpg,23.jpg,0.194907182
5.jpg,24.jpg,0.191457376
5.jpg,25.jpg,0.208174367
5.jpg,26.jpg,0.028523085
5.jpg,27.jpg,0.129036922
5.jpg,28.jpg,0.222873286
5.jpg,29.jpg,0.111541939
5.jpg,30.jpg,0.135682209
5.jpg,31.jpg,0.205676228
5.jpg,32.jpg,0.204965034
5.jpg,33.jpg,0.154136941
5.jpg,34.jpg,0.194385052
5.jpg,35.jpg,0.233041436
5.jpg,36.jpg,0.217335314
5.jpg,37.jpg,0.001908874
5.jpg,38.jpg,0.095329334
5.jpg,39.jpg,0.217467976
5.jpg,40.jpg,0.145840572
5.jpg,41.jpg,0.222178529
5.jpg,42.jpg,0.069291277
5.jpg,43.jpg,0.213191094
5.jpg,44.jpg,0.183266625
5.jpg,45.jpg,0.197982251
5.jpg,46.jpg,0.201521809
5.jpg,47.jpg,0.215316744
5.jpg,48.jpg,0.205901488
5.jpg,49.jpg,0.205110952
5.jpg,50.jpg,0.217932845
5.jpg,51.jpg,0.222956517
5.jpg,52.jpg,0.173137456
5.jpg,53.jpg,0.179997123
5.jpg,54.jpg,0.230047139
5.jpg,55.jpg,0.204282383
5.jpg,56.jpg,0.211697232
5.jpg,57.jpg,0.166759184
5.jpg,58.jpg,0.021602745
5.jpg,59.jpg,0.171932949
5.jpg,60.jpg,0.219197986
5.jpg,61.jpg,0.207509814
5.jpg,62.jpg,0.17991604
5.jpg,63.jpg,0.193085864
5.jpg,64.jpg,0.158154866
5.jpg,65.jpg,0.211366813
5.jpg,66.jpg,0.205678873
5.jpg,67.jpg,0.037551626
5.jpg,68.jpg,0.183136987
5.jpg,69.jpg,0.211810688
5.jpg,70.jpg,0.080203247
5.jpg,71.jpg,0.224270075
5.jpg,72.jpg,0.076047304
5.jpg,73.jpg,0.211469021
5.jpg,74.jpg,0.220374399
5.jpg,75.jpg,0.080245001
5.jpg,76.jpg,0.224546096
5.jpg,77.jpg,0.221377804
5.jpg,78.jpg,0.135706158
5.jpg,79.jpg,0.235337057
5.jpg,80.jpg,0.226921282
5.jpg,81.jpg,0.211106868
5.jpg,82.jpg,0.162451945
5.jpg,83.jpg,0.230263396
5.jpg,84.jpg,0.213437786
5.jpg,85.jpg,0.209545696
5.jpg,86.jpg,0.215708108
5.jpg,87.jpg,0.197772588
5.jpg,88.jpg,0.244213686
5.jpg,89.jpg,0.19892127
5.jpg,90.jpg,0.156659912
5.jpg,91.jpg,0.074540466
5.jpg,92.jpg,0.115086271
5.jpg,93.jpg,0.205077784
5.jpg,94.jpg,0.213303632
5.jpg,95.jpg,0.205515509
5.jpg,96.jpg,0.157352847
5.jpg,97.jpg,0.222663547
5.jpg,98.jpg,0.159366063
5.jpg,99.jpg,0.166176142
5.jpg,100.jpg,0.169735308
5.jpg,101.jpg,0.199070041
5.jpg,102.jpg,0.2111834
5.jpg,103.jpg,0.003364795
5.jpg,104.jpg,0.211082441
5.jpg,105.jpg,0.208534589
5.jpg,106.jpg,0.224525521
5.jpg,107.jpg,0.082418264
5.jpg,108.jpg,0.184019214
5.jpg,109.jpg,0.105237867
5.jpg,110.jpg,0.174239921
5.jpg,111.jpg,0.214501702
5.jpg,112.jpg,0.210411004
5.jpg,113.jpg,0.16102627
5.jpg,114.jpg,0.00136117
5.jpg,115.jpg,0.005689626
5.jpg,116.jpg,0.088895802
5.jpg,117.jpg,0.102317714
5.jpg,118.jpg,0.217217156
5.jpg,119.jpg,0.056886363
5.jpg,120.jpg,0.228489783
5.jpg,121.jpg,0.227534887
6.jpg,7.jpg,0.66029039
6.jpg,8.jpg,0.373558136
6.jpg,9.jpg,0.655423161
6.jpg,10.jpg,0.634259495
6.jpg,11.jpg,0.569725463
6.jpg,12.jpg,0.007816509
6.jpg,13.jpg,0.562140378
6.jpg,14.jpg,0.581339221
6.jpg,15.jpg,0.653633138
6.jpg,16.jpg,0.051230809
6.jpg,17.jpg,0.536161436
6.jpg,18.jpg,0.612627109
6.jpg,19.jpg,0.643418024
6.jpg,20.jpg,0.632147142
6.jpg,21.jpg,0.548458586
6.jpg,22.jpg,0.610044819
6.jpg,23.jpg,0.605480309
6.jpg,24.jpg,0.612287239
6.jpg,25.jpg,0.636904097
6.jpg,26.jpg,0.039906887
6.jpg,27.jpg,0.241889268
6.jpg,28.jpg,0.664553506
6.jpg,29.jpg,0.287852505
6.jpg,30.jpg,0.256962887
6.jpg,31.jpg,0.641944834
6.jpg,32.jpg,0.623923997
6.jpg,33.jpg,0.305843258
6.jpg,34.jpg,0.638130461
6.jpg,35.jpg,0.530156084
6.jpg,36.jpg,0.654489992
6.jpg,37.jpg,0.006215567
6.jpg,38.jpg,0.184924728
6.jpg,39.jpg,0.652444678
6.jpg,40.jpg,0.272643103
6.jpg,41.jpg,0.544666934
6.jpg,42.jpg,0.127989007
6.jpg,43.jpg,0.645674797
6.jpg,44.jpg,0.61417575
6.jpg,45.jpg,0.608190214
6.jpg,46.jpg,0.644389648
6.jpg,47.jpg,0.64139393
6.jpg,48.jpg,0.505124964
6.jpg,49.jpg,0.657981836
6.jpg,50.jpg,0.654951035
6.jpg,51.jpg,0.65156047
6.jpg,52.jpg,0.597440885
6.jpg,53.jpg,0.628870772
6.jpg,54.jpg,0.615866899
6.jpg,55.jpg,0.660022825
6.jpg,56.jpg,0.462572185
6.jpg,57.jpg,0.316816048
6.jpg,58.jpg,0.037032197
6.jpg,59.jpg,0.353914306
6.jpg,60.jpg,0.665126119
6.jpg,61.jpg,0.610472446
6.jpg,62.jpg,0.561799571
6.jpg,63.jpg,0.624119377
6.jpg,64.jpg,0.319219119
6.jpg,65.jpg,0.600688625
6.jpg,66.jpg,0.65626683
6.jpg,67.jpg,0.070832188
6.jpg,68.jpg,0.596716279
6.jpg,69.jpg,0.662496219
6.jpg,70.jpg,0.150150261
6.jpg,71.jpg,0.631440064
6.jpg,72.jpg,0.144559976
6.jpg,73.jpg,0.652825703
6.jpg,74.jpg,0.605917488
6.jpg,75.jpg,0.133988762
6.jpg,76.jpg,0.670465296
6.jpg,77.jpg,0.666596083
6.jpg,78.jpg,0.227462124
6.jpg,79.jpg,0.665101168
6.jpg,80.jpg,0.670805812
6.jpg,81.jpg,0.644039641
6.jpg,82.jpg,0.309543558
6.jpg,83.jpg,0.644112381
6.jpg,84.jpg,0.627392514
6.jpg,85.jpg,0.658800116
6.jpg,86.jpg,0.651160504
6.jpg,87.jpg,0.630871001
6.jpg,88.jpg,0.630709464
6.jpg,89.jpg,0.641223782
6.jpg,90.jpg,0.317388102
6.jpg,91.jpg,0.143417278
6.jpg,92.jpg,0.213219061
6.jpg,93.jpg,0.659540791
6.jpg,94.jpg,0.655622661
6.jpg,95.jpg,0.580876628
6.jpg,96.jpg,0.469377091
6.jpg,97.jpg,0.656965155
6.jpg,98.jpg,0.414317157
6.jpg,99.jpg,0.392122988
6.jpg,100.jpg,0.565429716
6.jpg,101.jpg,0.64861299
6.jpg,102.jpg,0.659421268
6.jpg,103.jpg,0.007302546
6.jpg,104.jpg,0.646619827
6.jpg,105.jpg,0.661195273
6.jpg,106.jpg,0.666830125
6.jpg,107.jpg,0.154178112
6.jpg,108.jpg,0.583992437
6.jpg,109.jpg,0.188990721
6.jpg,110.jpg,0.485513232
6.jpg,111.jpg,0.447088901
6.jpg,112.jpg,0.643184644
6.jpg,113.jpg,0.316499558
6.jpg,114.jpg,0.006069959
6.jpg,115.jpg,0.012900659
6.jpg,116.jpg,0.153473563
6.jpg,117.jpg,0.182709712
6.jpg,118.jpg,0.64521025
6.jpg,119.jpg,0.089662619
6.jpg,120.jpg,0.674183053
6.jpg,121.jpg,0.673292561
7.jpg,8.jpg,0.45726964
7.jpg,9.jpg,0.806401409
7.jpg,10.jpg,0.782590133
7.jpg,11.jpg,0.656021865
7.jpg,12.jpg,0.010256791
7.jpg,13.jpg,0.697266556
7.jpg,14.jpg,0.693622523
7.jpg,15.jpg,0.786356062
7.jpg,16.jpg,0.061032685
7.jpg,17.jpg,0.572273355
7.jpg,18.jpg,0.699025228
7.jpg,19.jpg,0.814698626
7.jpg,20.jpg,0.786252113
7.jpg,21.jpg,0.636001712
7.jpg,22.jpg,0.735112236
7.jpg,23.jpg,0.737402181
7.jpg,24.jpg,0.733288961
7.jpg,25.jpg,0.785624661
7.jpg,26.jpg,0.055119004
7.jpg,27.jpg,0.291271798
7.jpg,28.jpg,0.839001141
7.jpg,29.jpg,0.307067228
7.jpg,30.jpg,0.309536693
7.jpg,31.jpg,0.786104183
7.jpg,32.jpg,0.772498489
7.jpg,33.jpg,0.392409371
7.jpg,34.jpg,0.766094833
7.jpg,35.jpg,0.662966019
7.jpg,36.jpg,0.826209817
7.jpg,37.jpg,0.002870481
7.jpg,38.jpg,0.211013041
7.jpg,39.jpg,0.829971958
7.jpg,40.jpg,0.330424966
7.jpg,41.jpg,0.692405159
7.jpg,42.jpg,0.14493678
7.jpg,43.jpg,0.814927165
7.jpg,44.jpg,0.711093417
7.jpg,45.jpg,0.730355196
7.jpg,46.jpg,0.768713345
7.jpg,47.jpg,0.817458007
7.jpg,48.jpg,0.639961453
7.jpg,49.jpg,0.806087312
7.jpg,50.jpg,0.822664957
7.jpg,51.jpg,0.828638743
7.jpg,52.jpg,0.678617756
7.jpg,53.jpg,0.74027194
7.jpg,54.jpg,0.781156872
7.jpg,55.jpg,0.786663898
7.jpg,56.jpg,0.575665926
7.jpg,57.jpg,0.387258718
7.jpg,58.jpg,0.0395972
7.jpg,59.jpg,0.426211651
7.jpg,60.jpg,0.838687513
7.jpg,61.jpg,0.758907907
7.jpg,62.jpg,0.664591401
7.jpg,63.jpg,0.765302407
7.jpg,64.jpg,0.369130818
7.jpg,65.jpg,0.753013373
7.jpg,66.jpg,0.791453783
7.jpg,67.jpg,0.075376737
7.jpg,68.jpg,0.681718542
7.jpg,69.jpg,0.809139078
7.jpg,70.jpg,0.173464569
7.jpg,71.jpg,0.768732185
7.jpg,72.jpg,0.170153549
7.jpg,73.jpg,0.814140852
7.jpg,74.jpg,0.765247883
7.jpg,75.jpg,0.173300027
7.jpg,76.jpg,0.828174824
7.jpg,77.jpg,0.833839933
7.jpg,78.jpg,0.274594404
7.jpg,79.jpg,0.838258561
7.jpg,80.jpg,0.843082658
7.jpg,81.jpg,0.782344572
7.jpg,82.jpg,0.36060339
7.jpg,83.jpg,0.810260995
7.jpg,84.jpg,0.78823982
7.jpg,85.jpg,0.802158768
7.jpg,86.jpg,0.817629578
7.jpg,87.jpg,0.771391821
7.jpg,88.jpg,0.803504816
7.jpg,89.jpg,0.779594613
7.jpg,90.jpg,0.388069372
7.jpg,91.jpg,0.16858901
7.jpg,92.jpg,0.256757232
7.jpg,93.jpg,0.805056915
7.jpg,94.jpg,0.819007765
7.jpg,95.jpg,0.728071857
7.jpg,96.jpg,0.560365211
7.jpg,97.jpg,0.808971158
7.jpg,98.jpg,0.48306022
7.jpg,99.jpg,0.480297675
7.jpg,100.jpg,0.680297412
7.jpg,101.jpg,0.763976002
7.jpg,102.jpg,0.814851357
7.jpg,103.jpg,0.00342904
7.jpg,104.jpg,0.802260988
7.jpg,105.jpg,0.809473948
7.jpg,106.jpg,0.842341748
7.jpg,107.jpg,0.178233545
7.jpg,108.jpg,0.688736882
7.jpg,109.jpg,0.229548515
7.jpg,110.jpg,0.601054933
7.jpg,111.jpg,0.573038287
7.jpg,112.jpg,0.791067273
7.jpg,113.jpg,0.377749012
7.jpg,114.jpg,0.00014032
7.jpg,115.jpg,0.008277948
7.jpg,116.jpg,0.187196289
7.jpg,117.jpg,0.214645921
7.jpg,118.jpg,0.811629009
7.jpg,119.jpg,0.10876495
7.jpg,120.jpg,0.862026144
7.jpg,121.jpg,0.85997957
8.jpg,9.jpg,0.455314352
8.jpg,10.jpg,0.449592241
8.jpg,11.jpg,0.394119931
