,Image1,Image2,SimilarityIndex
0,ImageRepo\100.jpg,ImageRepo\10.jpg,0.6788036169144732
1,ImageRepo\101.jpg,ImageRepo\10.jpg,0.7383120078674312
2,ImageRepo\101.jpg,ImageRepo\100.jpg,0.6336075919436309
3,ImageRepo\102.jpg,ImageRepo\10.jpg,0.7891934940093294
4,ImageRepo\102.jpg,ImageRepo\100.jpg,0.693446500217616
5,ImageRepo\102.jpg,ImageRepo\101.jpg,0.7973786152544383
6,ImageRepo\103.jpg,ImageRepo\10.jpg,0.007905869956435769
7,ImageRepo\103.jpg,ImageRepo\100.jpg,0.006747883939056558
8,ImageRepo\103.jpg,ImageRepo\101.jpg,0.0041941447434477265
9,ImageRepo\103.jpg,ImageRepo\102.jpg,0.004516842580778881
10,ImageRepo\104.jpg,ImageRepo\10.jpg,0.7902639488457947
11,ImageRepo\104.jpg,ImageRepo\100.jpg,0.687710688598487
12,ImageRepo\104.jpg,ImageRepo\101.jpg,0.7744588013659977
13,ImageRepo\104.jpg,ImageRepo\102.jpg,0.8185496133336979
14,ImageRepo\104.jpg,ImageRepo\103.jpg,0.0042486184235379565
15,ImageRepo\105.jpg,ImageRepo\10.jpg,0.7842572502575806
16,ImageRepo\105.jpg,ImageRepo\100.jpg,0.6789652139957999
17,ImageRepo\105.jpg,ImageRepo\101.jpg,0.7939546308523839
18,ImageRepo\105.jpg,ImageRepo\102.jpg,0.8320032180138582
19,ImageRepo\105.jpg,ImageRepo\103.jpg,0.004107045015394002
20,ImageRepo\105.jpg,ImageRepo\104.jpg,0.815632665761643
21,ImageRepo\106.jpg,ImageRepo\10.jpg,0.8023271332777817
22,ImageRepo\106.jpg,ImageRepo\100.jpg,0.711655317941749
23,ImageRepo\106.jpg,ImageRepo\101.jpg,0.8015264055448053
24,ImageRepo\106.jpg,ImageRepo\102.jpg,0.8482171065527231
25,ImageRepo\106.jpg,ImageRepo\103.jpg,0.004392934071411302
26,ImageRepo\106.jpg,ImageRepo\104.jpg,0.8290774408218492
27,ImageRepo\106.jpg,ImageRepo\105.jpg,0.8474305852536018
28,ImageRepo\107.jpg,ImageRepo\10.jpg,0.16746982639239863
29,ImageRepo\107.jpg,ImageRepo\100.jpg,0.15105753562820626
30,ImageRepo\107.jpg,ImageRepo\101.jpg,0.1752253152824669
31,ImageRepo\107.jpg,ImageRepo\102.jpg,0.17903791419645632
32,ImageRepo\107.jpg,ImageRepo\103.jpg,0.02663491350910749
33,ImageRepo\107.jpg,ImageRepo\104.jpg,0.18565976769554327
34,ImageRepo\107.jpg,ImageRepo\105.jpg,0.17867415734469905
35,ImageRepo\107.jpg,ImageRepo\106.jpg,0.18119575580503688
36,ImageRepo\108.jpg,ImageRepo\10.jpg,0.6808221960124058
37,ImageRepo\108.jpg,ImageRepo\100.jpg,0.624000281920998
38,ImageRepo\108.jpg,ImageRepo\101.jpg,0.631163664146408
39,ImageRepo\108.jpg,ImageRepo\102.jpg,0.683970112180481
40,ImageRepo\108.jpg,ImageRepo\103.jpg,0.0033570262188290286
41,ImageRepo\108.jpg,ImageRepo\104.jpg,0.6902033406978031
42,ImageRepo\108.jpg,ImageRepo\105.jpg,0.6774988343603642
43,ImageRepo\108.jpg,ImageRepo\106.jpg,0.7010147754234014
44,ImageRepo\108.jpg,ImageRepo\107.jpg,0.1650228135357147
45,ImageRepo\109.jpg,ImageRepo\10.jpg,0.21461070606584828
46,ImageRepo\109.jpg,ImageRepo\100.jpg,0.18663975553367448
47,ImageRepo\109.jpg,ImageRepo\101.jpg,0.2291191416444636
48,ImageRepo\109.jpg,ImageRepo\102.jpg,0.23016954288992234
49,ImageRepo\109.jpg,ImageRepo\103.jpg,0.029178544422091234
50,ImageRepo\109.jpg,ImageRepo\104.jpg,0.23867797087513012
51,ImageRepo\109.jpg,ImageRepo\105.jpg,0.23288429467885433
52,ImageRepo\109.jpg,ImageRepo\106.jpg,0.23895795251834206
53,ImageRepo\109.jpg,ImageRepo\107.jpg,0.7977348627084441
54,ImageRepo\109.jpg,ImageRepo\108.jpg,0.20575791560194404
